s,kappa,dt,refline/x,refline/y,refline/z,refline/v,inner_edge/x,inner_edge/y,outer_edge/x,outer_edge/y,e_min,e_max,image,image_metadata,seq_num,course_id,name,t
2097.0,0.006858801807462926,0.1179028885957871,-781.6009501498106,-370.07846595869313,61.9692354956642,35.97925205923793,-783.0352965616526,-370.01428043896976,-775.0810096115505,-370.3831548805471,-6.527460097778311,1.4358754359789607,,,8,1,8,73.8978527238712
2098.0,0.0068527093741661506,0.11816334517124082,-781.5558631598673,-369.0720989991817,61.9692354956642,35.9447398203802,-782.8596082949414,-369.00341543140786,-774.9176322092977,-369.4269594110245,-6.647852660023708,1.3055903252916545,,,8,1,8,73.93363671620642
2099.0,0.00683351452564523,0.11852105744179471,-781.4952145510402,-368.0673504529416,61.9692354956642,35.89515088914662,-782.6846742112008,-367.9970044505893,-774.7485417577833,-368.475110589612,-6.759277534467347,1.1915788505672644,,,8,1,8,73.96969584270428
2100.0,0.006808237026010437,0.11892391959136032,-781.4273416330444,-367.06335323713313,61.9692354956642,35.83856277050334,-782.5100902485491,-366.99266120234284,-774.5767990864406,-367.52527965143054,-6.866539259196747,1.0851222310526358,,,8,1,8,74.0058826971891
2101.0,0.006782959526375644,0.11932678174092595,-781.3594687150486,-366.05935602132473,61.9692354956642,35.78197465186005,-782.3355062858974,-365.98831795409643,-774.4050564150979,-366.57544871324916,-6.9738009839261474,0.9786656115380074,,,8,1,8,74.04206955167389
2102.0,0.006753022622458421,0.11973761292995505,-781.2832500088476,-365.0564117168976,61.9692354956642,35.71561789925676,-782.1646714850355,-364.98566740557715,-774.2338113674964,-365.62732549963255,-7.0727032285859766,0.8842732997266528,,,8,1,8,74.07841686349802
2103.0,0.0067154353415049325,0.12016152865786872,-781.1933281718245,-364.0551962105238,61.9692354956642,35.633221814499976,-781.9999925143018,-363.9857961374846,-774.0633833791181,-364.6820062360496,-7.157879861454503,0.8096896366216605,,,8,1,8,74.11502763371072
2104.0,0.006677848060551444,0.1205854443857824,-781.1034063348014,-363.0539807041499,61.9692354956642,35.55082572974319,-781.8353135435681,-362.9859248693921,-773.89295539074,-363.7366869724666,-7.243056494323029,0.7351059735166683,,,8,1,8,74.15163840392344
2105.0,0.006638800242745397,0.1210060367028786,-781.0118807001169,-362.05299648297904,61.9692354956642,35.46655058336358,-781.670390622915,-361.986371090012,-773.7229324181167,-362.79154503318796,-7.326308275418557,0.6618742951886109,,,8,1,8,74.18827725272837
2106.0,0.006581496240465761,0.12138508758207182,-780.9003081724605,-361.0549032435213,61.9692354956642,35.358787843662775,-781.5024184161555,-360.9907858051571,-773.5579719965172,-361.8486195838297,-7.385500102812413,0.6055419394965863,,,8,1,8,74.22526707382029
